,Название улицы/поселения,Район
2,Молодцова улица,Медведково Северное
3,Осташковская улица,Медведково Северное
4,Полярная улица,Медведково Северное
5,Полярный проезд,Медведково Северное
6,Северодвинская улица,Медведково Северное
7,Студёный проезд,Медведково Северное
8,Сухонская улица,Медведково Северное
9,Тихомирова улица,Медведково Северное
10,Чермянская улица,Медведково Северное
11,Чермянский проезд,Медведково Северное
12,Широкая улица,Медведково Северное
13,Шокальского проезд,Медведково Северное
0,Вилюйская улица,Медведково Южное
1,Дежнёва проезд,Медведково Южное
2,Заповедная улица,Медведково Южное
3,Медведковский 1-й мост,Медведково Южное
4,Медведковский 2-й мост,Медведково Южное
5,Молодцова улица,Медведково Южное
6,Полярная улица,Медведково Южное
7,Сухонская улица,Медведково Южное
8,Чермянская улица,Медведково Южное
9,Шокальского проезд,Медведково Южное
10,Ясный проезд,Медведково Южное
0,Абрамцевская просека,Метрогородок
1,Бумажная просека,Метрогородок
2,Вербная улица,Метрогородок
3,Лосиноостровская улица,Метрогородок
4,Монтажная улица,Метрогородок
5,Николая Химушина улица,Метрогородок
6,Открытое шоссе,Метрогородок
7,Пермская улица,Метрогородок
8,Тагильская улица,Метрогородок
0,Астраханский переулок,Мещанский
1,Банный переулок,Мещанский
2,Банный проезд,Мещанский
3,Больничный переулок,Мещанский
4,Большая Екатерининская улица,Мещанский
5,Большая Лубянка улица,Мещанский
6,Большая Переяславская улица,Мещанский
7,Большая Сухаревская площадь,Мещанский
8,Большой Головин переулок,Мещанский
9,Большой Кисельный переулок,Мещанский
10,Большой Сергиевский переулок,Мещанский
11,Большой Сухаревский переулок,Мещанский
12,Ботанический переулок,Мещанский
13,Варсонофьевский переулок,Мещанский
14,Васнецова переулок,Мещанский
15,Верземнека улица,Мещанский
16,Водопроводный переулок,Мещанский
17,Воровского площадь,Мещанский
18,Выползов переулок,Мещанский
19,Гиляровского улица,Мещанский
20,Глинистый переулок,Мещанский
21,Грохольский переулок,Мещанский
22,Достоевского улица,Мещанский
23,Дурова улица,Мещанский
24,Звонарский переулок,Мещанский
25,Калмыков переулок,Мещанский
26,Капельский переулок,Мещанский
27,Кисельный тупик,Мещанский
28,Колокольников переулок,Мещанский
29,Коптельский 1-й переулок,Мещанский
30,Крестовский 2-й переулок,Мещанский
31,Кузнецкий Мост улица,Мещанский
32,Лаврский переулок,Мещанский
33,Лубянская площадь,Мещанский
34,Малая Екатерининская улица,Мещанский
35,Малая Лубянка улица,Мещанский
36,Малая Переяславская улица,Мещанский
37,Малая Сухаревская площадь,Мещанский
38,Малый Кисельный переулок,Мещанский
39,Малый Сергиевский переулок,Мещанский
40,Малый Сухаревский переулок,Мещанский
41,Мещанская улица,Мещанский
42,Мира проспект,Мещанский
43,Напрудный переулок,Мещанский
44,Неглинная улица,Мещанский
45,Нижний Кисельный переулок,Мещанский
46,Олимпийский проспект,Мещанский
47,Орлово-Давыдовский переулок,Мещанский
48,Орловский переулок,Мещанский
49,Пантелеевская улица,Мещанский
50,Пантелеевский переулок,Мещанский
51,Переяславский переулок,Мещанский
52,Печатников переулок,Мещанский
53,Последний переулок,Мещанский
54,Протопоповский переулок,Мещанский
55,Пушечная улица,Мещанский
56,Пушкарёв переулок,Мещанский
57,Рижская площадь,Мещанский
58,Рождественка улица,Мещанский
59,Рождественский бульвар,Мещанский
60,Садовая-Самотёчная улица,Мещанский
61,Садовая-Сухаревская улица,Мещанский
62,Самарская улица,Мещанский
63,Самотёчная площадь,Мещанский
64,Самотёчная улица,Мещанский
65,Сандуновский переулок,Мещанский
66,Скрябинский переулок,Мещанский
67,Слесарный переулок,Мещанский
68,Советской Армии улица,Мещанский
69,Средняя Переяславская улица,Мещанский
70,Сретенка улица,Мещанский
71,Сретенские Ворота площадь,Мещанский
72,Суворовская площадь,Мещанский
73,Сущёвский Вал улица,Мещанский
74,Театральный проезд,Мещанский
75,Трифоновская улица,Мещанский
76,Трифоновский тупик,Мещанский
77,Троицкая улица,Мещанский
78,Троицкий 1-й переулок,Мещанский
79,Троицкий 2-й переулок,Мещанский
80,Трубная площадь,Мещанский
81,Трубная улица,Мещанский
82,Фуркасовский переулок,Мещанский
83,Цветной бульвар,Мещанский
84,Цветной переулок,Мещанский
85,Щепкина улица,Мещанский
86,Яблонный переулок,Мещанский
0,Ангелов переулок,Митино
1,Барышиха улица,Митино
2,Волоколамское шоссе,Митино
3,Волоцкой переулок,Митино
4,Генерала Белобородова улица,Митино
5,Дубравная улица,Митино
6,Зенитчиков улица,Митино
7,Митинская улица,Митино
8,Митинский 1-й переулок,Митино
9,Митинский 2-й переулок,Митино
10,Митинский 3-й проезд,Митино
11,Муравская 1-я улица,Митино
12,Муравская 2-я улица,Митино
13,Муравская улица,Митино
14,Новобратцевский посёлок,Митино
15,Новотушинская улица,Митино
16,Новотушинский проезд,Митино
17,Парковая улица (пос. Новобратцевский),Митино
18,Пенягинская улица,Митино
19,Пенягинский 1-й проезд,Митино
20,Пенягинский 2-й проезд,Митино
21,Путилковское шоссе,Митино
22,Пятницкое шоссе,Митино
23,Рославка 1-я улица,Митино
24,Рославка 2-я улица,Митино
25,Рословка улица,Митино
26,Спасский мост,Митино
27,Староспасская улица,Митино
28,Уваровский переулок,Митино
29,Фабричная улица,Митино
30,Цариков переулок,Митино
31,Центральная улица (пос. Новобратцевский),Митино
0,Аминьевский мост,Можайский
1,Аминьевское шоссе,Можайский
2,Багрицкого улица,Можайский
3,Барвихинская улица,Можайский
4,Беловежская улица,Можайский
5,Верейская улица,Можайский
6,Вересаева улица,Можайский
7,Витебская улица,Можайский
8,Вяземская улица,Можайский
9,Гвардейская улица,Можайский
10,Генерала Дорохова улица,Можайский
11,Гжатская улица,Можайский
12,Говорова улица,Можайский
13,Горбунова улица,Можайский
14,Гришина улица,Можайский
15,Гродненская улица,Можайский
16,Дорогобужская улица,Можайский
17,Дорогобужский 2-й переулок,Можайский
18,Загорского проезд,Можайский
19,Запорожская улица,Можайский
20,Козлова улица,Можайский
21,Красных Зорь улица,Можайский
22,Кубинка улица,Можайский
23,Кутузова улица,Можайский
24,Маршала Неделина улица,Можайский
25,Можайское шоссе,Можайский
26,Петра Алексеева 1-й переулок,Можайский
27,Петра Алексеева 2-й переулок,Можайский
28,Петра Алексеева улица,Можайский
29,Ращупкина улица,Можайский
30,Рябиновая улица,Можайский
31,Сафоновская улица,Можайский
32,Сколковское шоссе,Можайский
33,Толбухина проезд,Можайский
34,Толбухина улица,Можайский
35,Троекуровский проезд,Можайский
36,Тюльпанная улица,Можайский
0,Бурцевская улица,Молжаниновский
1,Гатчинская улица,Молжаниновский
2,Железнодорожная улица (Шереметьево),Молжаниновский
3,Колпинская улица,Молжаниновский
4,Комсомольская улица,Молжаниновский
5,Ленинградское шоссе,Молжаниновский
6,Лужская улица,Молжаниновский
7,Машкинское шоссе,Молжаниновский
8,Международное шоссе,Молжаниновский
9,Мелькисаровская улица,Молжаниновский
10,Молжаниновская улица,Молжаниновский
11,Новосходненское шоссе,Молжаниновский
12,Новосёлки 1-я улица,Молжаниновский
13,Новосёлки 2-я улица,Молжаниновский
14,Новосёлки 3-я улица,Молжаниновский
15,Новосёлки 4-я улица,Молжаниновский
16,Охтинская улица,Молжаниновский
17,Охтинский проезд,Молжаниновский
18,Подрезковская 1-я улица,Молжаниновский
19,Подрезковская 2-я улица,Молжаниновский
20,Подрезковская 3-я улица,Молжаниновский
21,Приозёрная улица,Молжаниновский
22,Проектируемый проезд N 727,Молжаниновский
23,Сестрорецкая 1-я улица,Молжаниновский
24,Сестрорецкая 2-я улица,Молжаниновский
25,Сестрорецкая 3-я улица,Молжаниновский
26,Синявинская улица,Молжаниновский
27,Старофилинская улица,Молжаниновский
28,Шереметьевское шоссе,Молжаниновский
0,Борисовские Пруды улица,Москворечье-Сабурово
1,Варшавский 1-й проезд,Москворечье-Сабурово
2,Варшавский 2-й проезд,Москворечье-Сабурово
3,Верхний Борисовский мост,Москворечье-Сабурово
4,Кантемировская улица,Москворечье-Сабурово
5,Каспийская улица,Москворечье-Сабурово
6,Каширский проезд,Москворечье-Сабурово
7,Каширское шоссе,Москворечье-Сабурово
8,Котляковская улица,Москворечье-Сабурово
9,Котляковский 1-й переулок,Москворечье-Сабурово
10,Котляковский 2-й переулок,Москворечье-Сабурово
11,Кошкина улица,Москворечье-Сабурово
12,Москворечье улица,Москворечье-Сабурово
13,Наташинская улица,Москворечье-Сабурово
14,Нижний Борисовский мост,Москворечье-Сабурово
15,Пролетарский проспект,Москворечье-Сабурово
16,Шипиловский проезд,Москворечье-Сабурово
0,Академика Миллионщикова улица,Нагатино-Садовники
1,Андропова проспект,Нагатино-Садовники
2,Варшавское шоссе,Нагатино-Садовники
3,Высокая улица,Нагатино-Садовники
4,Каширский проезд,Нагатино-Садовники
5,Каширское шоссе,Нагатино-Садовники
6,Коломенский проезд,Нагатино-Садовники
7,Коломенское шоссе,Нагатино-Садовники
8,Нагатинская набережная,Нагатино-Садовники
9,Нагатинская улица,Нагатино-Садовники
10,Нагатинский 1-й проезд,Нагатино-Садовники
11,Нагатинский 2-й проезд,Нагатино-Садовники
12,Нагатинский бульвар,Нагатино-Садовники
13,Нагатинский мост,Нагатино-Садовники
14,Проектируемый проезд N 3888,Нагатино-Садовники
15,Садовники улица,Нагатино-Садовники
16,Старокаширское шоссе,Нагатино-Садовники
17,Хлебозаводский проезд,Нагатино-Садовники
0,Андропова проспект,Нагатинский затон
1,Большая улица,Нагатинский затон
2,Дьяково Городище 1-я улица,Нагатинский затон
3,Дьяково Городище 2-я улица,Нагатинский затон
4,Жужа улица,Нагатинский затон
5,Затонная улица,Нагатинский затон
6,Кленовый бульвар,Нагатинский затон
7,Коломенская набережная,Нагатинский затон
8,Коломенская улица,Нагатинский затон
9,Нагатинская набережная,Нагатинский затон
10,Нагатинская пойма,Нагатинский затон
11,Нагатинский мост,Нагатинский затон
12,Новинки улица,Нагатинский затон
13,Проектируемый проезд N 4062,Нагатинский затон
14,Речников улица,Нагатинский затон
15,Садовая Слобода улица,Нагатинский затон
16,Судостроительная улица,Нагатинский затон
17,Якорная улица,Нагатинский затон
0,Академика Вишневского площадь,Нагорный
1,Артековская улица,Нагорный
2,Балаклавский проспект,Нагорный
3,Болотниковская улица,Нагорный
4,Варшавское шоссе,Нагорный
5,Криворожская улица,Нагорный
6,Криворожский проезд,Нагорный
7,Нагорный проезд,Нагорный
8,Нахимовский проспект,Нагорный
9,Симферопольский бульвар,Нагорный
10,Симферопольский проезд,Нагорный
11,Фруктовая улица,Нагорный
12,Черноморский бульвар,Нагорный
13,Чонгарский бульвар,Нагорный
14,Электролитный проезд,Нагорный
15,Ялтинская улица,Нагорный
0,Вольская 1-я улица,Некрасовка
1,Вольская 2-я улица,Некрасовка
2,Некрасовка посёлок,Некрасовка
3,Некрасовская улица,Некрасовка
0,Автомобильный проезд,Нижегородский
1,Басовская улица,Нижегородский
2,Боенский проезд,Нижегородский
3,Бронницкая улица,Нижегородский
4,Бронницкий переулок,Нижегородский
5,Верхняя Хохловка улица,Нижегородский
6,Волгоградский проспект,Нижегородский
7,Газгольдерная улица,Нижегородский
8,Карачаровская 1-я улица,Нижегородский
9,Карачаровская 2-я улица,Нижегородский
10,Карачаровская 3-я улица,Нижегородский
11,Карачаровская улица,Нижегородский
12,Карачаровский 1-й проезд,Нижегородский
13,Карачаровский 2-й проезд,Нижегородский
14,Карачаровское шоссе,Нижегородский
15,Малая Калитниковская улица,Нижегородский
16,Михайловский проезд,Нижегородский
17,Нижегородская улица,Нижегородский
18,Нижняя Хохловка улица,Нижегородский
19,Новохохловская улица,Нижегородский
20,Орехово-Зуевский проезд,Нижегородский
21,Остаповский проезд,Нижегородский
22,Пекуновский тупик,Нижегородский
23,Перовский проезд,Нижегородский
24,Перовское шоссе,Нижегородский
25,Подъёмная улица,Нижегородский
26,Подъёмный переулок,Нижегородский
27,Рогожский Посёлок улица,Нижегородский
28,Рязанский проспект,Нижегородский
29,Скотопрогонная улица,Нижегородский
30,Смирновская улица,Нижегородский
31,Сорокин переулок,Нижегородский
32,Средняя Калитниковская улица,Нижегородский
33,Старообрядческая улица,Нижегородский
34,Талалихина улица,Нижегородский
35,Фрезер шоссе,Нижегородский
36,Фрезерная 1-я улица,Нижегородский
37,Фрезерная 2-я улица,Нижегородский
38,Четырехдомный переулок,Нижегородский
39,Чистопольская улица,Нижегородский
0,Боровское шоссе,Ново-Переделкино
1,Вокзальная улица,Ново-Переделкино
2,Лазенки 1-я улица,Ново-Переделкино
3,Лазенки 2-я улица,Ново-Переделкино
4,Лазенки 3-я улица,Ново-Переделкино
5,Лазенки 4-я улица,Ново-Переделкино
6,Лазенки 5-я улица,Ново-Переделкино
7,Лазенки 6-я улица,Ново-Переделкино
8,Лазенки 7-я улица,Ново-Переделкино
9,Лукино 1-я улица,Ново-Переделкино
10,Лукино 2-я улица,Ново-Переделкино
11,Лукинская улица,Ново-Переделкино
12,Новоорловская улица,Ново-Переделкино
13,Новопеределкинская улица,Ново-Переделкино
14,Новые Сады 1-я улица,Ново-Переделкино
15,Новые Сады 10-я улица,Ново-Переделкино
16,Новые Сады 11-я улица,Ново-Переделкино
17,Новые Сады 2-я улица,Ново-Переделкино
18,Новые Сады 3-я улица,Ново-Переделкино
19,Новые Сады 4-я улица,Ново-Переделкино
20,Новые Сады 5-я улица,Ново-Переделкино
21,Новые Сады 6-я улица,Ново-Переделкино
22,Новые Сады 7-я улица,Ново-Переделкино
23,Новые Сады 8-я улица,Ново-Переделкино
24,Новые Сады 9-я улица,Ново-Переделкино
25,Парковая улица,Ново-Переделкино
26,Приречная улица,Ново-Переделкино
27,Скульптора Мухиной улица,Ново-Переделкино
28,Староорловская улица,Ново-Переделкино
29,Федосьино улица,Ново-Переделкино
30,Чоботовская 1-я аллея,Ново-Переделкино
31,Чоботовская 10-я аллея,Ново-Переделкино
32,Чоботовская 11-я аллея,Ново-Переделкино
33,Чоботовская 2-я аллея,Ново-Переделкино
34,Чоботовская 3-я аллея,Ново-Переделкино
35,Чоботовская 4-я аллея,Ново-Переделкино
36,Чоботовская 5-я аллея,Ново-Переделкино
37,Чоботовская 6-я аллея,Ново-Переделкино
38,Чоботовская 7-я аллея,Ново-Переделкино
39,Чоботовская 8-я аллея,Ново-Переделкино
40,Чоботовская 9-я аллея,Ново-Переделкино
41,Чоботовская улица,Ново-Переделкино
42,Чоботовский проезд,Ново-Переделкино
43,Шолохова улица,Ново-Переделкино
0,Алексея Дикого улица,Новогиреево
1,Братская улица,Новогиреево
2,Владимирская 2-я улица,Новогиреево
3,Зелёный проспект,Новогиреево
4,Коренная улица,Новогиреево
5,Кусковская улица,Новогиреево
6,Мартеновская улица,Новогиреево
7,Металлургов улица,Новогиреево
8,Напольный проезд,Новогиреево
9,Новогиреевская улица,Новогиреево
10,Новотетёрки улица,Новогиреево
11,Перовская улица,Новогиреево
12,Полимерная улица,Новогиреево
13,Сапёрный проезд,Новогиреево
14,Свободный проспект,Новогиреево
15,Союзный проспект,Новогиреево
16,Утренняя улица,Новогиреево
17,Федеративный проспект,Новогиреево
18,Фрязевская улица,Новогиреево
0,Городецкая улица,Новокосино
1,Николая Старостина улица,Новокосино
2,Никольско-Архангельский проезд,Новокосино
3,Новокосинская улица,Новокосино
4,Носовихинское шоссе,Новокосино
5,Салтыковская улица,Новокосино
6,Суздальская улица,Новокосино
0,Академика Волгина улица,Обручевский
1,Академика Келдыша площадь,Обручевский
2,Академика Опарина улица,Обручевский
3,Академика Пилюгина улица,Обручевский
4,Академика Челомея улица,Обручевский
5,Архитектора Власова улица,Обручевский
6,Воронцовские Пруды улица,Обручевский
7,Воронцовский парк,Обручевский
8,Гарибальди улица,Обручевский
9,Ленинский проспект,Обручевский
10,Миклухо-Маклая улица,Обручевский
11,Намёткина улица,Обручевский
12,Новаторов улица,Обручевский
13,Обручева улица,Обручевский
14,Островитянова улица,Обручевский
15,Профсоюзная улица,Обручевский
16,Саморы Машела улица,Обручевский
17,Старокалужское шоссе,Обручевский
0,Баженова улица,Орехово-Борисово Северное
1,Борисовский проезд,Орехово-Борисово Северное
2,Верхний Борисовский мост,Орехово-Борисово Северное
3,Воздушная улица,Орехово-Борисово Северное
4,Генерала Белова улица,Орехово-Борисово Северное
5,Городянка улица,Орехово-Борисово Северное
6,Дольская улица,Орехово-Борисово Северное
7,Домодедовская улица,Орехово-Борисово Северное
8,Еготьевский тупик,Орехово-Борисово Северное
9,Каширское шоссе,Орехово-Борисово Северное
10,Маршала Захарова улица,Орехово-Борисово Северное
11,Нижний Борисовский мост,Орехово-Борисово Северное
12,Новоцарицынское шоссе,Орехово-Борисово Северное
13,Ореховый бульвар,Орехово-Борисово Северное
14,Садово-Крестьянская улица,Орехово-Борисово Северное
15,Шипиловская улица,Орехово-Борисово Северное
16,Шипиловский проезд,Орехово-Борисово Северное
0,Воронежская улица,Орехово-Борисово Южное
1,Генерала Белова улица,Орехово-Борисово Южное
2,Гурьевский проезд,Орехово-Борисово Южное
3,Домодедовская улица,Орехово-Борисово Южное
4,Елецкая улица,Орехово-Борисово Южное
5,Каширское шоссе,Орехово-Борисово Южное
6,Ореховый бульвар,Орехово-Борисово Южное
7,Тамбовская улица,Орехово-Борисово Южное
8,Шипиловский проезд,Орехово-Борисово Южное
9,Ясеневая улица,Орехово-Борисово Южное
0,Академика Королёва улица,Останкинский
1,Аргуновская улица,Останкинский
2,Берёзовая аллея,Останкинский
3,Большая Марьинская улица,Останкинский
4,Ботаническая улица,Останкинский
5,Бочкова улица,Останкинский
6,Вильгельма Пика улица,Останкинский
7,Годовикова улица,Останкинский
8,Декабристов улица,Останкинский
9,Дубовой Рощи проезд,Останкинский
10,Дубовой Рощи улица,Останкинский
11,Звёздный бульвар,Останкинский
12,Калибровская улица,Останкинский
13,Кондратюка улица,Останкинский
14,Космонавтов аллея,Останкинский
15,Мира проспект,Останкинский
16,Мурманский проезд,Останкинский
17,Новомосковская улица,Останкинский
18,Новоостанкинская 2-я улица,Останкинский
19,Новоостанкинская 3-я улица,Останкинский
20,Новоостанкинский 5-й проезд,Останкинский
21,Новоостанкинский 6-й проезд,Останкинский
22,Новоостанкинский 7-й проезд,Останкинский
23,Олонецкая улица,Останкинский
24,Ольминского проезд,Останкинский
25,Останкинская 1-я улица,Останкинский
26,Останкинская 2-я улица,Останкинский
27,Останкинский 3-й переулок,Останкинский
28,Останкинский 5-й переулок,Останкинский
29,Останкинский 6-й переулок,Останкинский
30,Останкинский проезд,Останкинский
31,Поперечный 1-й проезд,Останкинский
32,Поперечный 2-й проезд,Останкинский
33,Прасковьина улица,Останкинский
34,Продольный проезд,Останкинский
35,Прудовой проезд,Останкинский
36,Сельскохозяйственная улица,Останкинский
37,Сергея Эйзенштейна улица,Останкинский
38,Узкий переулок,Останкинский
39,Хованская улица,Останкинский
40,Цандера улица,Останкинский
41,Широкий проезд,Останкинский
0,Алтуфьевское шоссе,Отрадное
1,Берёзовая аллея,Отрадное
2,Бестужевых улица,Отрадное
3,Высоковольтный проезд,Отрадное
4,Декабристов улица,Отрадное
5,Каргопольская улица,Отрадное
6,Мусоргского улица,Отрадное
7,Нововладыкинский проезд,Отрадное
8,Олонецкая улица,Отрадное
9,Отрадная улица,Отрадное
10,Отрадный проезд,Отрадное
11,Пестеля улица,Отрадное
12,Поморская улица,Отрадное
13,Проектируемый проезд N 4251,Отрадное
14,Римского-Корсакова улица,Отрадное
15,Санникова улица,Отрадное
16,Северный бульвар,Отрадное
17,Сельскохозяйственная улица,Отрадное
18,Сигнальный проезд,Отрадное
19,Хачатуряна улица,Отрадное
20,Юрловский проезд,Отрадное
21,Якушкина проезд,Отрадное
0,Аминьевский мост,Очаково-Матвеевское
1,Аминьевское шоссе,Очаково-Матвеевское
2,Большая Очаковская улица,Очаково-Матвеевское
3,Веерная улица,Очаково-Матвеевское
4,Верейская улица,Очаково-Матвеевское
5,Генерала Дорохова улица,Очаково-Матвеевское
6,Елены Колесовой улица,Очаково-Матвеевское
7,Лобачевского улица,Очаково-Матвеевское
8,Марии Поливановой улица,Очаково-Матвеевское
9,Матвеевская улица,Очаково-Матвеевское
10,Мичуринский проспект,Очаково-Матвеевское
11,Наташи Ковшовой улица,Очаково-Матвеевское
12,Нежинская улица,Очаково-Матвеевское
13,Озёрная площадь,Очаково-Матвеевское
14,Озёрная улица,Очаково-Матвеевское
15,Очаковский 1-й переулок,Очаково-Матвеевское
16,Очаковский 2-й переулок,Очаково-Матвеевское
17,Очаковский 3-й переулок,Очаково-Матвеевское
18,Очаковский 4-й переулок,Очаково-Матвеевское
19,Очаковский 5-й переулок,Очаково-Матвеевское
20,Очаковское шоссе,Очаково-Матвеевское
21,Пржевальского улица,Очаково-Матвеевское
22,Проектируемый проезд N 1438,Очаково-Матвеевское
23,Проектируемый проезд N 1980,Очаково-Матвеевское
24,Проектируемый проезд N 5231,Очаково-Матвеевское
25,Рябиновая улица,Очаково-Матвеевское
26,Староволынская улица,Очаково-Матвеевское
27,Стройкомбината проезд,Очаково-Матвеевское
28,Троекуровский проезд,Очаково-Матвеевское
0,Аносова улица,Перово
1,Братская улица,Перово
2,Владимирская 1-я улица,Перово
3,Владимирская 2-я улица,Перово
4,Владимирская 3-я улица,Перово
5,Зелёный проспект,Перово
6,Коренная улица,Перово
7,Кусковская улица,Перово
8,Кусковский тупик,Перово
9,Лазо улица,Перово
10,Мартеновская улица,Перово
11,Мастеровая улица,Перово
12,Металлургов улица,Перово
13,Новогиреевская улица,Перово
14,Перова Поля 1-й проезд,Перово
15,Перова Поля 2-й проезд,Перово
16,Перова Поля 3-й проезд,Перово
17,Перова Поля 4-й проезд,Перово
18,Перовская улица,Перово
19,Перовское шоссе,Перово
20,Плеханова улица,Перово
21,Плющева улица,Перово
22,Терлецкий проезд,Перово
23,Уткина улица,Перово
24,Утренняя улица,Перово
25,Федеративный проспект,Перово
26,Фрезер проезд,Перово
27,Электродная улица,Перово
28,Электродный переулок,Перово
29,Энтузиастов 1-я улица,Перово
30,Энтузиастов 2-я улица,Перово
31,Энтузиастов шоссе,Перово
0,Батайская улица,Печатники
1,Батюнинская улица,Печатники
2,Волгоградский проспект,Печатники
3,Гурьянова улица,Печатники
4,Курьяновская 1-я улица,Печатники
5,Курьяновская 2-я улица,Печатники
6,Курьяновская 3-я улица,Печатники
7,Курьяновская 4-я улица,Печатники
8,Курьяновский 1-й проезд,Печатники
9,Курьяновский 2-й проезд,Печатники
10,Курьяновский бульвар,Печатники
11,Кухмистерова улица,Печатники
12,Машиностроения 2-я улица,Печатники
13,Песчаный Карьер улица,Печатники
14,Полбина улица,Печатники
15,Проектируемый проезд N 3610,Печатники
16,Проектируемый проезд N 3683,Печатники
17,Проектируемый проезд N 3712,Печатники
18,Проектируемый проезд N 4294,Печатники
19,Проектируемый проезд N 4386,Печатники
20,Проектируемый проезд N 5112,Печатники
21,Проектируемый проезд N 5113,Печатники
22,Речной проезд,Печатники
23,Угрешская улица,Печатники
24,Угрешский 1-й проезд,Печатники
25,Угрешский 2-й проезд,Печатники
26,Угрешский 3-й проезд,Печатники
27,Шарикоподшипниковская улица,Печатники
28,Шлюзы посёлок,Печатники
29,Шоссейная улица,Печатники
30,Южнопортовая улица,Печатники
31,Южнопортовый 1-й проезд,Печатники
32,Южнопортовый 2-й проезд,Печатники
0,Береговая улица,Покровское-Стрешнево
1,Большая Набережная улица,Покровское-Стрешнево
2,Вишнёвая улица,Покровское-Стрешнево
3,Водников улица,Покровское-Стрешнево
4,Войковский 5-й проезд,Покровское-Стрешнево
5,Волоколамский проезд,Покровское-Стрешнево
6,Волоколамское шоссе,Покровское-Стрешнево
7,Врачебный проезд,Покровское-Стрешнево
8,Габричевского улица,Покровское-Стрешнево
9,Долгова улица,Покровское-Стрешнево
10,Иваньковское шоссе,Покровское-Стрешнево
11,Лётная улица,Покровское-Стрешнево
12,Малая Набережная улица,Покровское-Стрешнево
13,Мещерякова улица,Покровское-Стрешнево
14,Никольский тупик,Покровское-Стрешнево
15,Подмосковная улица,Покровское-Стрешнево
16,Полесский проезд,Покровское-Стрешнево
17,Походный проезд,Покровское-Стрешнево
18,Свободы улица,Покровское-Стрешнево
19,Сосновая аллея,Покровское-Стрешнево
20,Спасский мост,Покровское-Стрешнево
21,Стратонавтов проезд,Покровское-Стрешнево
22,Сходненский тупик,Покровское-Стрешнево
23,Тушинская улица,Покровское-Стрешнево
24,Тушинский 1-й проезд,Покровское-Стрешнево
25,Тушинский 2-й проезд,Покровское-Стрешнево
26,Тушинский 3-й проезд,Покровское-Стрешнево
27,Циолковского улица,Покровское-Стрешнево
0,Алымова улица,Преображенское
1,Атарбекова улица,Преображенское
2,Богородский Вал улица,Преображенское
3,Большая Черкизовская улица,Преображенское
4,Буженинова улица,Преображенское
5,Бухвостова 1-я улица,Преображенское
6,Бухвостова 2-я улица,Преображенское
7,Бухвостова 3-я улица,Преображенское
8,Ганнушкина набережная,Преображенское
9,Глебовский мост,Преображенское
10,Девятая Рота улица,Преображенское
11,Жидков переулок,Преображенское
12,Журавлёва площадь,Преображенское
13,Заваруевский переулок,Преображенское
14,Зборовский 1-й переулок,Преображенское
15,Зельев переулок,Преображенское
16,Знаменская улица,Преображенское
17,Измайловский Вал улица,Преображенское
18,Ковылинский переулок,Преображенское
19,Краснобогатырская улица,Преображенское
20,Лермонтовская улица,Преображенское
21,Малая Семёновская улица,Преображенское
22,Малая Черкизовская улица,Преображенское
23,Матросский мост,Преображенское
24,Медовый переулок,Преображенское
25,Нижний Журавлёв переулок,Преображенское
26,Новый проезд,Преображенское
27,Окружной проезд,Преображенское
28,Открытое шоссе,Преображенское
29,Палочный переулок,Преображенское
30,Потешная улица,Преображенское
31,Преображенская набережная,Преображенское
32,Преображенская площадь,Преображенское
33,Преображенская улица,Преображенское
34,Преображенский Вал улица,Преображенское
35,Проектируемый проезд N 951,Преображенское
36,Просторная улица,Преображенское
37,Пугачёвская 1-я улица,Преображенское
38,Пугачёвская 2-я улица,Преображенское
39,Страховская улица,Преображенское
40,Суворовская улица,Преображенское
41,Суворовский 1-й переулок,Преображенское
42,Титова улица,Преображенское
43,Тюменская улица,Преображенское
44,Фигурный переулок,Преображенское
